scenario,popsize,nItems,landsize,nClusters,clusterSpread,tmax,genmax,g_patho_init,range_food,range_agents,range_move,handling_time,regen_time,pTransmit,initialInfections,costInfect,nThreads,dispersal,vertical,infect_percent,mProb,mSize,replicate,ofi
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,1,1655231009
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,2,1655231010
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,3,1655231011
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,4,1655231012
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,5,1655231013
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,6,1655231014
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,7,1655231015
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,8,1655231016
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,9,1655231017
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,10,1655231018
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,1,1655231019
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,2,1655231020
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,3,1655231021
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,4,1655231022
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,5,1655231023
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,6,1655231024
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,7,1655231025
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,8,1655231026
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,9,1655231027
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,10,1655231028
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,1,1655231029
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,2,1655231030
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,3,1655231031
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,4,1655231032
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,5,1655231033
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,6,1655231034
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,7,1655231035
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,8,1655231036
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,9,1655231037
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,10,1655231038
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,1,1655231039
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,2,1655231040
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,3,1655231041
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,4,1655231042
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,5,1655231043
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,6,1655231044
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,7,1655231045
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,8,1655231046
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,9,1655231047
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,10,1655231048
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,1,1655231049
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,2,1655231050
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,3,1655231051
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,4,1655231052
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,5,1655231053
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,6,1655231054
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,7,1655231055
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,8,1655231056
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,9,1655231057
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,10,1655231058
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,1,1655231059
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,2,1655231060
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,3,1655231061
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,4,1655231062
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,5,1655231063
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,6,1655231064
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,7,1655231065
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,8,1655231066
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,9,1655231067
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,10,1655231068
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,1,1655231069
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,2,1655231070
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,3,1655231071
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,4,1655231072
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,5,1655231073
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,6,1655231074
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,7,1655231075
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,8,1655231076
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,9,1655231077
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.1,1,2,FALSE,FALSE,0.01,0.01,10,1655231078
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,1,1655231079
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,2,1655231080
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,3,1655231081
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,4,1655231082
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,5,1655231083
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,6,1655231084
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,7,1655231085
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,8,1655231086
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,9,1655231087
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,10,1655231088
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,1,1655231089
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,2,1655231090
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,3,1655231091
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,4,1655231092
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,5,1655231093
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,6,1655231094
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,7,1655231095
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,8,1655231096
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,9,1655231097
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,10,1655231098
