scenario,popsize,nItems,landsize,nClusters,clusterSpread,tmax,genmax,g_patho_init,range_food,range_agents,range_move,handling_time,regen_time,pTransmit,initialInfections,costInfect,multithreaded,dispersal,vertical,infect_percent,mProb,mSize,spillover_rate,replicate,seed
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,FALSE,0.01,0.01,0.1,1,1676488313
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,FALSE,0.01,0.01,0.1,2,1676488314
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,FALSE,0.01,0.01,0.1,3,1676488315
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,FALSE,0.01,0.01,0.1,4,1676488316
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,FALSE,0.01,0.01,0.1,5,1676488317
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,FALSE,0.01,0.01,0.1,6,1676488318
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,FALSE,0.01,0.01,0.1,7,1676488319
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,FALSE,0.01,0.01,0.1,8,1676488320
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,FALSE,0.01,0.01,0.1,9,1676488321
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,FALSE,0.01,0.01,0.1,10,1676488322
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,FALSE,0.01,0.01,0.25,1,1676488323
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,FALSE,0.01,0.01,0.25,2,1676488324
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,FALSE,0.01,0.01,0.25,3,1676488325
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,FALSE,0.01,0.01,0.25,4,1676488326
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,FALSE,0.01,0.01,0.25,5,1676488327
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,FALSE,0.01,0.01,0.25,6,1676488328
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,FALSE,0.01,0.01,0.25,7,1676488329
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,FALSE,0.01,0.01,0.25,8,1676488330
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,FALSE,0.01,0.01,0.25,9,1676488331
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,FALSE,0.01,0.01,0.25,10,1676488332
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,FALSE,0.01,0.01,0.5,1,1676488333
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,FALSE,0.01,0.01,0.5,2,1676488334
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,FALSE,0.01,0.01,0.5,3,1676488335
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,FALSE,0.01,0.01,0.5,4,1676488336
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,FALSE,0.01,0.01,0.5,5,1676488337
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,FALSE,0.01,0.01,0.5,6,1676488338
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,FALSE,0.01,0.01,0.5,7,1676488339
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,FALSE,0.01,0.01,0.5,8,1676488340
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,FALSE,0.01,0.01,0.5,9,1676488341
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,FALSE,2,FALSE,FALSE,0.01,0.01,0.5,10,1676488342
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,FALSE,0.01,0.01,0.1,1,1676488343
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,FALSE,0.01,0.01,0.1,2,1676488344
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,FALSE,0.01,0.01,0.1,3,1676488345
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,FALSE,0.01,0.01,0.1,4,1676488346
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,FALSE,0.01,0.01,0.1,5,1676488347
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,FALSE,0.01,0.01,0.1,6,1676488348
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,FALSE,0.01,0.01,0.1,7,1676488349
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,FALSE,0.01,0.01,0.1,8,1676488350
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,FALSE,0.01,0.01,0.1,9,1676488351
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,FALSE,0.01,0.01,0.1,10,1676488352
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,FALSE,0.01,0.01,0.25,1,1676488353
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,FALSE,0.01,0.01,0.25,2,1676488354
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,FALSE,0.01,0.01,0.25,3,1676488355
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,FALSE,0.01,0.01,0.25,4,1676488356
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,FALSE,0.01,0.01,0.25,5,1676488357
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,FALSE,0.01,0.01,0.25,6,1676488358
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,FALSE,0.01,0.01,0.25,7,1676488359
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,FALSE,0.01,0.01,0.25,8,1676488360
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,FALSE,0.01,0.01,0.25,9,1676488361
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,FALSE,0.01,0.01,0.25,10,1676488362
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,FALSE,0.01,0.01,0.5,1,1676488363
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,FALSE,0.01,0.01,0.5,2,1676488364
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,FALSE,0.01,0.01,0.5,3,1676488365
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,FALSE,0.01,0.01,0.5,4,1676488366
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,FALSE,0.01,0.01,0.5,5,1676488367
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,FALSE,0.01,0.01,0.5,6,1676488368
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,FALSE,0.01,0.01,0.5,7,1676488369
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,FALSE,0.01,0.01,0.5,8,1676488370
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,FALSE,0.01,0.01,0.5,9,1676488371
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,FALSE,2,FALSE,FALSE,0.01,0.01,0.5,10,1676488372
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,FALSE,2,FALSE,FALSE,0.01,0.01,0.1,1,1676488373
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,FALSE,2,FALSE,FALSE,0.01,0.01,0.1,2,1676488374
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,FALSE,2,FALSE,FALSE,0.01,0.01,0.1,3,1676488375
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,FALSE,2,FALSE,FALSE,0.01,0.01,0.1,4,1676488376
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,FALSE,2,FALSE,FALSE,0.01,0.01,0.1,5,1676488377
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,FALSE,2,FALSE,FALSE,0.01,0.01,0.1,6,1676488378
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,FALSE,2,FALSE,FALSE,0.01,0.01,0.1,7,1676488379
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,FALSE,2,FALSE,FALSE,0.01,0.01,0.1,8,1676488380
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,FALSE,2,FALSE,FALSE,0.01,0.01,0.1,9,1676488381
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,FALSE,2,FALSE,FALSE,0.01,0.01,0.1,10,1676488382
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,FALSE,2,FALSE,FALSE,0.01,0.01,0.25,1,1676488383
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,FALSE,2,FALSE,FALSE,0.01,0.01,0.25,2,1676488384
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,FALSE,2,FALSE,FALSE,0.01,0.01,0.25,3,1676488385
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,FALSE,2,FALSE,FALSE,0.01,0.01,0.25,4,1676488386
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,FALSE,2,FALSE,FALSE,0.01,0.01,0.25,5,1676488387
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,FALSE,2,FALSE,FALSE,0.01,0.01,0.25,6,1676488388
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,FALSE,2,FALSE,FALSE,0.01,0.01,0.25,7,1676488389
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,FALSE,2,FALSE,FALSE,0.01,0.01,0.25,8,1676488390
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,FALSE,2,FALSE,FALSE,0.01,0.01,0.25,9,1676488391
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,FALSE,2,FALSE,FALSE,0.01,0.01,0.25,10,1676488392
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,FALSE,2,FALSE,FALSE,0.01,0.01,0.5,1,1676488393
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,FALSE,2,FALSE,FALSE,0.01,0.01,0.5,2,1676488394
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,FALSE,2,FALSE,FALSE,0.01,0.01,0.5,3,1676488395
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,FALSE,2,FALSE,FALSE,0.01,0.01,0.5,4,1676488396
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,FALSE,2,FALSE,FALSE,0.01,0.01,0.5,5,1676488397
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,FALSE,2,FALSE,FALSE,0.01,0.01,0.5,6,1676488398
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,FALSE,2,FALSE,FALSE,0.01,0.01,0.5,7,1676488399
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,FALSE,2,FALSE,FALSE,0.01,0.01,0.5,8,1676488400
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,FALSE,2,FALSE,FALSE,0.01,0.01,0.5,9,1676488401
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,FALSE,2,FALSE,FALSE,0.01,0.01,0.5,10,1676488402
